transaction_id,rate,pickUpDate,returnDate,owner_id,renter_id,item_id,paymentintent_id,refunded,payment_status
0,35,2022-06-02T19:55:20.942Z,2022-06-04T19:55:20.943Z,12,10,0,,false,
1,30,2022-06-08T19:55:20.943Z,2022-06-14T19:55:20.943Z,12,10,0,,false,
2,68,2022-06-14T19:55:20.943Z,2022-06-20T19:55:20.943Z,2,4,0,,false,
3,10,2022-06-21T19:55:20.943Z,2022-06-22T19:55:20.943Z,7,13,0,,false,
4,23,2022-06-22T19:55:20.943Z,2022-06-26T19:55:20.943Z,12,4,0,,false,
0,48,2022-05-06T19:55:20.943Z,2022-05-10T19:55:20.943Z,5,0,1,,false,
1,16,2022-05-10T19:55:20.943Z,2022-05-13T19:55:20.943Z,9,6,1,,false,
2,54,2022-05-17T19:55:20.943Z,2022-05-22T19:55:20.943Z,3,13,1,,false,
3,64,2022-05-23T19:55:20.943Z,2022-05-26T19:55:20.943Z,11,4,1,,false,
4,42,2022-05-30T19:55:20.944Z,2022-06-03T19:55:20.944Z,2,12,1,,false,
0,26,2022-05-15T19:55:20.944Z,2022-05-18T19:55:20.944Z,4,1,2,,false,
1,87,2022-05-19T19:55:20.944Z,2022-05-22T19:55:20.944Z,13,4,2,,false,
2,14,2022-05-25T19:55:20.944Z,2022-06-01T19:55:20.944Z,8,13,2,,false,
3,93,2022-06-04T19:55:20.944Z,2022-06-06T19:55:20.944Z,5,7,2,,false,
4,95,2022-06-08T19:55:20.944Z,2022-06-15T19:55:20.944Z,1,9,2,,false,
0,25,2022-05-16T19:55:20.944Z,2022-05-17T19:55:20.944Z,1,8,3,,false,
1,18,2022-05-17T19:55:20.944Z,2022-05-18T19:55:20.944Z,12,0,3,,false,
2,80,2022-05-22T19:55:20.944Z,2022-05-26T19:55:20.944Z,9,3,3,,false,
3,53,2022-05-26T19:55:20.944Z,2022-06-02T19:55:20.944Z,6,13,3,,false,
0,91,2022-06-04T19:55:20.944Z,2022-06-10T19:55:20.944Z,13,6,4,,false,
1,49,2022-06-11T19:55:20.944Z,2022-06-14T19:55:20.944Z,8,7,4,,false,
2,43,2022-06-14T19:55:20.944Z,2022-06-19T19:55:20.944Z,7,1,4,,false,
3,7,2022-06-23T19:55:20.944Z,2022-06-30T19:55:20.944Z,1,4,4,,false,
4,88,2022-07-03T19:55:20.944Z,2022-07-10T19:55:20.944Z,0,14,4,,false,
5,94,2022-07-10T19:55:20.944Z,2022-07-16T19:55:20.944Z,10,12,4,,false,
6,66,2022-07-20T19:55:20.944Z,2022-07-23T19:55:20.944Z,14,6,4,,false,
7,90,2022-07-27T19:55:20.944Z,2022-07-30T19:55:20.944Z,9,10,4,,false,
0,37,2022-05-25T19:55:20.944Z,2022-05-28T19:55:20.944Z,12,10,5,,false,
1,6,2022-05-28T19:55:20.944Z,2022-05-30T19:55:20.944Z,9,3,5,,false,
2,41,2022-06-01T19:55:20.944Z,2022-06-05T19:55:20.944Z,13,6,5,,false,
3,67,2022-06-09T19:55:20.944Z,2022-06-11T19:55:20.944Z,0,13,5,,false,
4,71,2022-06-11T19:55:20.944Z,2022-06-16T19:55:20.944Z,1,0,5,,false,
5,62,2022-06-16T19:55:20.944Z,2022-06-22T19:55:20.944Z,13,5,5,,false,
6,91,2022-06-26T19:55:20.944Z,2022-06-30T19:55:20.944Z,6,2,5,,false,
7,99,2022-07-04T19:55:20.944Z,2022-07-06T19:55:20.944Z,0,8,5,,false,
0,81,2022-05-28T19:55:20.944Z,2022-06-01T19:55:20.944Z,5,5,6,,false,
1,65,2022-06-03T19:55:20.944Z,2022-06-10T19:55:20.944Z,13,0,6,,false,
2,25,2022-06-12T19:55:20.944Z,2022-06-13T19:55:20.944Z,11,8,6,,false,
3,32,2022-06-17T19:55:20.944Z,2022-06-20T19:55:20.944Z,12,14,6,,false,
4,16,2022-06-24T19:55:20.944Z,2022-06-29T19:55:20.944Z,9,8,6,,false,
5,30,2022-07-02T19:55:20.944Z,2022-07-04T19:55:20.944Z,9,3,6,,false,
6,15,2022-07-04T19:55:20.944Z,2022-07-08T19:55:20.944Z,6,5,6,,false,
0,100,2022-05-25T19:55:20.944Z,2022-05-28T19:55:20.944Z,0,13,7,,false,
1,12,2022-05-28T19:55:20.944Z,2022-06-02T19:55:20.944Z,8,8,7,,false,
2,96,2022-06-04T19:55:20.944Z,2022-06-08T19:55:20.944Z,2,8,7,,false,
3,96,2022-06-12T19:55:20.944Z,2022-06-18T19:55:20.944Z,10,13,7,,false,
0,77,2022-05-16T19:55:20.944Z,2022-05-20T19:55:20.944Z,2,5,8,,false,
1,81,2022-05-24T19:55:20.944Z,2022-05-25T19:55:20.944Z,8,1,8,,false,
2,62,2022-05-27T19:55:20.944Z,2022-05-31T19:55:20.944Z,11,8,8,,false,
3,86,2022-06-04T19:55:20.944Z,2022-06-05T19:55:20.944Z,12,8,8,,false,
4,65,2022-06-07T19:55:20.944Z,2022-06-13T19:55:20.944Z,3,6,8,,false,
5,42,2022-06-14T19:55:20.944Z,2022-06-16T19:55:20.944Z,14,9,8,,false,
0,8,2022-05-21T19:55:20.944Z,2022-05-22T19:55:20.944Z,8,10,9,,false,
1,82,2022-05-22T19:55:20.944Z,2022-05-24T19:55:20.944Z,7,8,9,,false,
2,32,2022-05-28T19:55:20.944Z,2022-06-01T19:55:20.944Z,11,8,9,,false,
3,71,2022-06-01T19:55:20.944Z,2022-06-08T19:55:20.944Z,12,12,9,,false,
4,22,2022-06-10T19:55:20.944Z,2022-06-12T19:55:20.944Z,13,7,9,,false,
0,59,2022-05-18T19:55:20.944Z,2022-05-20T19:55:20.944Z,9,1,10,,false,
1,30,2022-05-22T19:55:20.944Z,2022-05-24T19:55:20.944Z,9,13,10,,false,
2,56,2022-05-25T19:55:20.944Z,2022-05-31T19:55:20.944Z,8,11,10,,false,
0,47,2022-05-03T19:55:20.945Z,2022-05-10T19:55:20.945Z,3,0,11,,false,
1,45,2022-05-11T19:55:20.945Z,2022-05-16T19:55:20.945Z,6,9,11,,false,
2,87,2022-05-20T19:55:20.945Z,2022-05-26T19:55:20.945Z,11,2,11,,false,
3,81,2022-05-26T19:55:20.945Z,2022-06-02T19:55:20.945Z,10,0,11,,false,
4,67,2022-06-03T19:55:20.945Z,2022-06-06T19:55:20.945Z,9,12,11,,false,
0,95,2022-05-18T19:55:20.945Z,2022-05-21T19:55:20.945Z,1,9,12,,false,
0,91,2022-05-02T19:55:20.945Z,2022-05-07T19:55:20.945Z,9,3,13,,false,
0,91,2022-05-23T19:55:20.945Z,2022-05-27T19:55:20.945Z,6,9,14,,false,
1,13,2022-05-28T19:55:20.945Z,2022-06-04T19:55:20.945Z,12,2,14,,false,
2,4,2022-06-08T19:55:20.945Z,2022-06-12T19:55:20.945Z,14,13,14,,false,
3,23,2022-06-13T19:55:20.945Z,2022-06-17T19:55:20.945Z,9,10,14,,false,
4,99,2022-06-17T19:55:20.945Z,2022-06-19T19:55:20.945Z,10,12,14,,false,
5,26,2022-06-21T19:55:20.945Z,2022-06-26T19:55:20.945Z,1,3,14,,false,
6,100,2022-06-27T19:55:20.945Z,2022-07-04T19:55:20.945Z,6,3,14,,false,
7,29,2022-07-04T19:55:20.945Z,2022-07-10T19:55:20.945Z,8,2,14,,false,
8,46,2022-07-14T19:55:20.945Z,2022-07-20T19:55:20.945Z,2,6,14,,false,
9,18,2022-07-24T19:55:20.945Z,2022-07-31T19:55:20.945Z,9,13,14,,false,
0,89,2022-05-01T19:55:20.945Z,2022-05-04T19:55:20.945Z,11,7,15,,false,
1,59,2022-05-04T19:55:20.945Z,2022-05-08T19:55:20.945Z,9,5,15,,false,
0,84,2022-05-27T19:55:20.945Z,2022-05-29T19:55:20.945Z,14,14,16,,false,
1,62,2022-06-01T19:55:20.945Z,2022-06-08T19:55:20.945Z,12,10,16,,false,
2,10,2022-06-12T19:55:20.945Z,2022-06-18T19:55:20.945Z,2,5,16,,false,
3,50,2022-06-18T19:55:20.945Z,2022-06-23T19:55:20.945Z,7,12,16,,false,
4,9,2022-06-27T19:55:20.945Z,2022-07-02T19:55:20.945Z,9,4,16,,false,
5,95,2022-07-05T19:55:20.945Z,2022-07-07T19:55:20.945Z,6,10,16,,false,
6,79,2022-07-11T19:55:20.945Z,2022-07-18T19:55:20.945Z,14,12,16,,false,
7,5,2022-07-22T19:55:20.945Z,2022-07-24T19:55:20.945Z,4,11,16,,false,
8,37,2022-07-25T19:55:20.945Z,2022-07-29T19:55:20.945Z,8,6,16,,false,
0,91,2022-05-18T19:55:20.945Z,2022-05-19T19:55:20.945Z,5,0,17,,false,
1,37,2022-05-19T19:55:20.945Z,2022-05-21T19:55:20.945Z,13,6,17,,false,
2,74,2022-05-22T19:55:20.945Z,2022-05-25T19:55:20.945Z,6,14,17,,false,
3,58,2022-05-27T19:55:20.945Z,2022-05-29T19:55:20.945Z,13,2,17,,false,
4,19,2022-05-29T19:55:20.945Z,2022-06-01T19:55:20.945Z,7,12,17,,false,
5,65,2022-06-05T19:55:20.945Z,2022-06-08T19:55:20.945Z,4,2,17,,false,
6,35,2022-06-11T19:55:20.945Z,2022-06-15T19:55:20.945Z,4,11,17,,false,
